name,sector_label,side,institution,institution_source,safety_tenure,leads_work,works_total,papers,posts,strong_works,confidence,citations,post_score,af_posts,tier,first_year,last_year,cluster_name,topics,sources,openalex_id,lw_slug,top_1,top_1_url,top_2,top_2_url,top_3,top_3_url,recent_1,recent_1_url
adamShimi,Safety non-profit or safety venture,safety_ecosystem,Conjecture,bio mention,mid,0,35,0,35,35,high,0,1606,34,25+ works,2020,2024,"Existential, Timelines, Superintelligence",AI risk; Agency & goals; Decision theory; Field-building; Inner alignment; Deception & scheming; Robustness; Forecasting & timelines,lesswrong,,adamshimi,"The Compendium, A full argument about extinction risk from AGI",https://www.lesswrong.com/posts/prm7jJMZzToZ4QxoK/the-compendium-a-full-argument-about-extinction-risk-from,What I Learned Running Refine,https://www.lesswrong.com/posts/3zZjF3YKJ257x79mu/what-i-learned-running-refine,On Solving Problems Before They Appear: The Weird Epistemologies of Alignment,https://www.lesswrong.com/posts/FQqcejhNWGG8vHDch/on-solving-problems-before-they-appear-the-weird,"The Compendium, A full argument about extinction risk from AGI",https://www.lesswrong.com/posts/prm7jJMZzToZ4QxoK/the-compendium-a-full-argument-about-extinction-risk-from
Dan H,No affiliation on indexed works,other,,,early,0,35,0,35,35,high,0,1558,19,25+ works,2022,2026,"Existential, Timelines, Superintelligence",AI risk; Communication; Existential risk; AI governance; Takeoff dynamics; Evaluations; Deception & scheming; Field-building,lesswrong,,dan-h,"Statement on AI Extinction - Signed by AGI Labs, Top Academics, and Many Other Notable Figures",https://www.lesswrong.com/posts/HcJPJxkyCsrpSdCii/statement-on-ai-extinction-signed-by-agi-labs-top-academics,On the Rationality of Deterring ASI,https://www.lesswrong.com/posts/XsYQyBgm8eKjd3Sqw/on-the-rationality-of-deterring-asi,[$20K in Prizes] AI Safety Arguments Competition,https://www.lesswrong.com/posts/3eP8D5Sxih3NhPE6F/usd20k-in-prizes-ai-safety-arguments-competition,"ML Safety Newsletter #20: AI Wellbeing, Classifier Jailbreaking and Honest Pushback Benchmarking",https://www.lesswrong.com/posts/GjnhrR65t3d7w7Bgt/ml-safety-newsletter-20-ai-wellbeing-classifier-jailbreaking
Scott Garrabrant,No affiliation on indexed works,other,,,established,0,35,0,35,35,high,0,3159,34,25+ works,2017,2021,"Existential, Timelines, Superintelligence",Embedded agency; Decision theory; AI risk; Inner alignment; Agent foundations; Agency & goals; Deception & scheming; Forecasting & timelines,lesswrong,,scott-garrabrant,Embedded Agents,https://www.lesswrong.com/posts/p7x32SEt43ZMC9r7r/embedded-agents,Embedded Agency (full-text version),https://www.lesswrong.com/posts/i3BTagvt3HbPMx6PN/embedded-agency-full-text-version,Risks from Learned Optimization: Introduction,https://www.lesswrong.com/posts/FkgsxrGf3QxhfLWHG/risks-from-learned-optimization-introduction,Saving Time,https://www.lesswrong.com/posts/gEKHX8WKrXGM4roRC/saving-time
Richard_Ngo,Frontier / capabilities lab,frontier_capabilities,DeepMind,bio mention,mid,0,34,0,34,34,high,0,3020,21,25+ works,2018,2026,"Existential, Timelines, Superintelligence",AI risk; AI governance; Forecasting & timelines; Takeoff dynamics; Field-building; Inner alignment; Agency & goals; Agent foundations,lesswrong,,ricraz,Ngo and Yudkowsky on alignment difficulty,https://www.lesswrong.com/posts/7im8at9PmhbT4JHsW/ngo-and-yudkowsky-on-alignment-difficulty,Policy discussions follow strong contextualizing norms,https://www.lesswrong.com/posts/cbQih72wbKkrSX7yx/policy-discussions-follow-strong-contextualizing-norms,Some cruxes on impactful alternatives to AI policy work,https://www.lesswrong.com/posts/DJB82jKwgJE5NsWgT/some-cruxes-on-impactful-alternatives-to-ai-policy-work,Agents as Webs of Beliefs,https://www.lesswrong.com/posts/M39Z2CvyfaxZdaxR4/agents-as-webs-of-beliefs
Zach Stein-Perlman,No affiliation on indexed works,other,,,mid,0,33,0,33,33,high,0,1966,1,25+ works,2021,2025,"Existential, Timelines, Superintelligence",AI governance; Evaluations; AI risk; Forecasting & timelines; Containment; Takeoff dynamics,lesswrong,,zach-stein-perlman,AI companies aren't really using external evaluators,https://www.lesswrong.com/posts/WjtnvndbsHxCnFNyc/ai-companies-aren-t-really-using-external-evaluators,Introducing AI Lab Watch,https://www.lesswrong.com/posts/N2r9EayvsWJmLBZuF/introducing-ai-lab-watch,AI companies' eval reports mostly don't support their claims,https://www.lesswrong.com/posts/AK6AihHGjirdoiJg6/ai-companies-eval-reports-mostly-don-t-support-their-claims,AI companies' policy advocacy (Sep 2025),https://www.lesswrong.com/posts/wmGRpmEJBAWBTGuSC/ai-companies-policy-advocacy-sep-2025
Buck,Safety non-profit or safety venture,safety_ecosystem,Redwood Research,bio mention,mid,0,33,0,33,33,high,0,3870,31,25+ works,2020,2025,"Existential, Timelines, Superintelligence",AI control; Deception & scheming; Evaluations; AI risk; Takeoff dynamics; AI governance; Field-building; Alignment proposals,lesswrong,,buck,Alignment Faking in Large Language Models,https://www.lesswrong.com/posts/njAZwT8nkHnjipJku/alignment-faking-in-large-language-models,Would catching your AIs trying to escape convince AI developers to slow down or undeploy?,https://www.lesswrong.com/posts/YTZAmJKydD5hdRSeG/would-catching-your-ais-trying-to-escape-convince-ai,The case for ensuring that powerful AIs are controlled,https://www.lesswrong.com/posts/kcKrE9mzEHrdqtDpE/the-case-for-ensuring-that-powerful-ais-are-controlled,The behavioral selection model for predicting AI motivations,https://www.lesswrong.com/posts/FeaJcWkC6fuRAMsfp/the-behavioral-selection-model-for-predicting-ai-motivations-1
Rohin Shah,Frontier / capabilities lab,frontier_capabilities,Google DeepMind,bio mention,established,3,31,8,23,30,high,38,1734,22,25+ works,2019,2026,"Deliberative, Enables, Chain-Of-Thought",Reinforcement Learning in Robotics; Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Explainable Artificial Intelligence (XAI); Blockchain Technology Applications and Security; Software Engineering Research; Software Reliability and Analysis Research; Multi-Agent Systems and Negotiation,lesswrong; openalex,https://openalex.org/A5012971694,rohinmshah,Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety,https://www.lesswrong.com/posts/7xneDbsgj6yJDJMjK/chain-of-thought-monitorability-a-new-and-fragile,Discussion: Challenges with Unsupervised LLM Knowledge Discovery,https://www.lesswrong.com/posts/wtfvbsYjNHYYBmT3k/discussion-challenges-with-unsupervised-llm-knowledge-1,Coherence arguments do not entail goal-directed behavior,https://www.lesswrong.com/posts/NxF5G6CJiof6cemTw/coherence-arguments-do-not-entail-goal-directed-behavior,Debate Training Reduces Reward Hacking in RLAIF,https://arxiv.org/abs/2608.17776
TurnTrout,No affiliation on indexed works,other,,,mid,0,31,0,31,31,high,0,3378,29,25+ works,2018,2026,"Existential, Timelines, Superintelligence",Inner alignment; Corrigibility; Chain of thought; AI risk; AI governance; Agency & goals; Deception & scheming; Evaluations,lesswrong,,turntrout,Reward is not the optimization target,https://www.lesswrong.com/posts/pdaGN6pQyQarFHXF4/reward-is-not-the-optimization-target,Understanding and controlling a maze-solving policy network,https://www.lesswrong.com/posts/cAC4AXiNC5ig6jQnc/understanding-and-controlling-a-maze-solving-policy-network,Mechanistically Eliciting Latent Behaviors in Language Models,https://www.lesswrong.com/posts/ioPnHKFyy4Cw2Gr2x/mechanistically-eliciting-latent-behaviors-in-language-1,Op-Ed: I Worked at Google DeepMind. You Should Listen to the Warnings About AI,https://www.lesswrong.com/posts/YGTWfyZb9oE5EQPu6/op-ed-i-worked-at-google-deepmind-you-should-listen-to-the
Roman Leventov,No affiliation on indexed works,other,,,early,0,29,0,29,29,high,0,619,10,25+ works,2022,2024,"Existential, Timelines, Superintelligence",AI risk; Agency & goals; AI governance; Field-building; Automated alignment research; Alignment proposals; Agent foundations,lesswrong,,roman-leventov,"Yoshua Bengio: ""Slowing down development of AI systems passing the Turing test""",https://www.lesswrong.com/posts/tq8uMdSDj8iRnGmTE/yoshua-bengio-slowing-down-development-of-ai-systems-passing,A multi-disciplinary view on AI safety research,https://www.lesswrong.com/posts/opE6L8jBTTNAyaDbB/a-multi-disciplinary-view-on-ai-safety-research,How evolutionary lineages of LLMs can plan their own future and act on these plans,https://www.lesswrong.com/posts/ddR8dExcEFJKJtWvR/how-evolutionary-lineages-of-llms-can-plan-their-own-future,The AI Revolution in Biology,https://www.lesswrong.com/posts/ceLgi34zvsd7BFJof/the-ai-revolution-in-biology
RogerDearnaley,Academia,academia,David Krueger (Cambridge),bio mention,early,0,28,0,28,28,high,0,1024,17,25+ works,2023,2026,"Existential, Timelines, Superintelligence",Alignment proposals; Existential risk; Automated alignment research; Inner alignment; Field-building; Agent foundations; AI governance; AI risk,lesswrong,,rogerdearnaley,Pretraining on Aligned AI Data Dramatically Reduces Misalignment—Even After Post-Training,https://www.lesswrong.com/posts/ZeWewFEefCtx4Rj3G/pretraining-on-aligned-ai-data-dramatically-reduces,Claude is Now Alignment-Pretrained,https://www.lesswrong.com/posts/Xqh9bDw7Ei5bExC6h/claude-is-now-alignment-pretrained-1,How to Control an LLM's Behavior (why my P(DOOM) went down),https://www.lesswrong.com/posts/JviYwAk5AfBR7HhEn/how-to-control-an-llm-s-behavior-why-my-p-doom-went-down-1,Constitutional AI Alignment,https://www.lesswrong.com/posts/ejquSai53KymS5hHe/constitutional-ai-alignment
Eliezer Yudkowsky,No affiliation on indexed works,other,,,established,0,26,0,26,26,high,0,5655,17,25+ works,2017,2025,"Existential, Timelines, Superintelligence",Takeoff dynamics; AI risk; Forecasting & timelines; AI governance; Corrigibility; Automated alignment research; AI control; Inner alignment,lesswrong,,eliezer_yudkowsky,AGI Ruin: A List of Lethalities,https://www.lesswrong.com/posts/uMQ3cqWDPHhjtiesc/agi-ruin-a-list-of-lethalities,"MIRI announces new ""Death With Dignity"" strategy",https://www.lesswrong.com/posts/j9Q8bRmwCgXRYAgcJ/miri-announces-new-death-with-dignity-strategy,Six Dimensions of Operational Adequacy in AGI Projects,https://www.lesswrong.com/posts/keiYkaeoLHoKK4LYA/six-dimensions-of-operational-adequacy-in-agi-projects,On Fleshling Safety: A Debate by Klurl and Trapaucius.,https://www.lesswrong.com/posts/dHLdf8SB8oW5L27gg/on-fleshling-safety-a-debate-by-klurl-and-trapaucius
Stuart_Armstrong,No affiliation on indexed works,other,,,established,0,26,0,26,26,high,0,841,16,25+ works,2015,2020,"Existential, Timelines, Superintelligence",AI risk; Containment; Corrigibility; Deception & scheming; Debate & oversight; Inner alignment; Decision theory,lesswrong,,stuart_armstrong,"And the AI would have got away with it too, if...",https://www.lesswrong.com/posts/92J4zJHkqmXTduxzY/and-the-ai-would-have-got-away-with-it-too-if,Top 9+2 myths about AI risk,https://www.lesswrong.com/posts/wiwpmtyiKr6bPnSai/top-9-2-myths-about-ai-risk,"Results of $1,000 Oracle contest!",https://www.lesswrong.com/posts/YbYFeZQWncy9Tzzq9/results-of-usd1-000-oracle-contest,"Results of $1,000 Oracle contest!",https://www.lesswrong.com/posts/YbYFeZQWncy9Tzzq9/results-of-usd1-000-oracle-contest
paulfchristiano,No affiliation on indexed works,other,,,established,0,25,0,25,25,high,0,3993,14,25+ works,2016,2023,"Existential, Timelines, Superintelligence",AI risk; Decision theory; Takeoff dynamics; Debate & oversight; Evaluations; AI governance; Forecasting & timelines; Deception & scheming,lesswrong,,paulfchristiano,Where I agree and disagree with Eliezer,https://www.lesswrong.com/posts/CoZhXrhpQxpy9xw9y/where-i-agree-and-disagree-with-eliezer,What failure looks like,https://www.lesswrong.com/posts/HBxe6wdjxK239zajf/what-failure-looks-like,Another (outer) alignment failure story,https://www.lesswrong.com/posts/AyNHoTWWAJ5eb99ji/another-outer-alignment-failure-story,Thoughts on responsible scaling policies and regulation,https://www.lesswrong.com/posts/dxgEaDrEBkkE96CXr/thoughts-on-responsible-scaling-policies-and-regulation
DanielFilan,No affiliation on indexed works,other,,,mid,0,25,0,25,25,high,0,905,18,25+ works,2020,2026,"Existential, Timelines, Superintelligence",AI governance; Evaluations; AI risk; Deception & scheming; Inner alignment; Agent foundations; Field-building; Debate & oversight,lesswrong,,danielfilan,Consider not donating under $100 to political candidates,https://www.lesswrong.com/posts/tz43dmLAchxcqnDRA/consider-not-donating-under-usd100-to-political-candidates,Takeaways from a survey on AI alignment resources,https://www.lesswrong.com/posts/rXSBvSKvKdaNkhLeJ/takeaways-from-a-survey-on-ai-alignment-resources,AXRP Episode 27 - AI Control with Buck Shlegeris and Ryan Greenblatt,https://www.lesswrong.com/posts/7vRiJozcE2AjcRm7J/axrp-episode-27-ai-control-with-buck-shlegeris-and-ryan,AXRP Episode 48 - Guive Assadi on AI Property Rights,https://www.lesswrong.com/posts/4foFK5Lz65ywSz4eo/axrp-episode-48-guive-assadi-on-ai-property-rights
Chris_Leong,No affiliation on indexed works,other,,,mid,0,25,0,25,25,high,0,518,16,25+ works,2018,2026,"Existential, Timelines, Superintelligence",Decision theory; AI risk; Agent foundations; AI governance; Forecasting & timelines; Debate & oversight; Automated alignment research; Inner alignment,lesswrong,,chris_leong,Challenges with Breaking into MIRI-Style Research,https://www.lesswrong.com/posts/Kcbo4rXu3jYPnauoK/challenges-with-breaking-into-miri-style-research,"Can we get an AI to ""do our alignment homework for us""?",https://www.lesswrong.com/posts/MZ6JD4LaPGRL5K6aj/can-we-get-an-ai-to-do-our-alignment-homework-for-us,$1000 USD prize - Circular Dependency of Counterfactuals,https://www.lesswrong.com/posts/Gzw6FwPD9FeL4GTWC/usd1000-usd-prize-circular-dependency-of-counterfactuals,The Refined Counterfactual Prisoner's Dilemma: An Attempt to Explode Decision-Theoretic Consequentialism ,https://www.lesswrong.com/posts/WisQvECYPGebryRPD/the-refined-counterfactual-prisoner-s-dilemma-an-attempt-to
Wei Dai,No affiliation on indexed works,other,,,mid,0,23,0,23,23,high,0,2522,19,10-24 works,2018,2025,"Existential, Timelines, Superintelligence",AI risk; Decision theory; Corrigibility; Containment; AI governance; Takeoff dynamics; Forecasting & timelines; Automated alignment research,lesswrong,,wei-dai,Legible vs. Illegible AI Safety Problems,https://www.lesswrong.com/posts/PMc65HgRFvBimEpmJ/legible-vs-illegible-ai-safety-problems,UDT shows that decision theory is more puzzling than ever,https://www.lesswrong.com/posts/wXbSAKu2AcohaK2Gt/udt-shows-that-decision-theory-is-more-puzzling-than-ever,Beyond Astronomical Waste,https://www.lesswrong.com/posts/Qz6w4GYZpgeDp6ATB/beyond-astronomical-waste,A Conflict Between AI Alignment and Philosophical Competence,https://www.lesswrong.com/posts/N6tsGwxaAo7iGTiBG/a-conflict-between-ai-alignment-and-philosophical-competence
Remmelt,No affiliation on indexed works,other,,,early,0,23,0,23,23,high,0,474,1,10-24 works,2022,2026,"Existential, Timelines, Superintelligence",AI risk; AI governance; Field-building,lesswrong,,remmelt-ellen,This might be the last AI Safety Camp,https://www.lesswrong.com/posts/EAZjXKNN2vgoJGF9Y/this-might-be-the-last-ai-safety-camp,MAGA speakers at NatCon were mostly against AI,https://www.lesswrong.com/posts/TiQGC6woDMPJ9zbNM/maga-speakers-at-natcon-were-mostly-against-ai,The Control Problem: Unsolved or Unsolvable?,https://www.lesswrong.com/posts/xp6n2MG5vQkPpFEBH/the-control-problem-unsolved-or-unsolvable,"If ‘bad guys’ don't pause, do you?",https://www.lesswrong.com/posts/cZKiSszN2abbqK5xN/if-bad-guys-don-t-pause-do-you
Charbel-Raphaël,Policy institute or think tank,safety_ecosystem,CeSIA,bio mention,early,0,23,0,23,23,high,0,1996,12,10-24 works,2022,2026,"Existential, Timelines, Superintelligence",AI governance; Field-building; AI risk; Evaluations; AI control; Deception & scheming; AI welfare; Debate & oversight,lesswrong,,charbel-raphael,"Global Call for AI Red Lines - Signed by Nobel Laureates, Former Heads of State, and 200+ Prominent Figures",https://www.lesswrong.com/posts/vKA2BgpESFZSHaQnT/global-call-for-ai-red-lines-signed-by-nobel-laureates,"The current bottleneck is political will, not research",https://www.lesswrong.com/posts/EexsebbYhbe2gXkPP/the-current-bottleneck-is-political-will-not-research,Davidad's Bold Plan for Alignment: An In-Depth Explanation,https://www.lesswrong.com/posts/jRf4WENQnhssCb6mJ/davidad-s-bold-plan-for-alignment-an-in-depth-explanation,OpenAI has already ended an internal pause,https://www.lesswrong.com/posts/k3eKqKzq4Y7xnqEfZ/openai-has-already-ended-an-internal-pause
Joe Carlsmith,Safety non-profit or safety venture,safety_ecosystem,Open Philanthropy,bio mention,mid,0,23,0,23,23,high,0,2290,10,10-24 works,2021,2025,"Existential, Timelines, Superintelligence",Deception & scheming; AI welfare; AI risk; Automated alignment research; Decision theory; Agency & goals; Alignment proposals,lesswrong,,joe-carlsmith,On green,https://www.lesswrong.com/posts/gvNnE6Th594kfdB3z/on-green,Gentleness and the artificial Other,https://www.lesswrong.com/posts/mzvu8QTRXdvDReCAL/gentleness-and-the-artificial-other,Predictable updating about AI risk,https://www.lesswrong.com/posts/bHozHrQD4qxvKdfqq/predictable-updating-about-ai-risk,Video and transcript of talk on AI welfare,https://www.lesswrong.com/posts/2hxtvjd7QgYXqyCf6/video-and-transcript-of-talk-on-ai-welfare
Seth Herd,No affiliation on indexed works,other,,,early,0,22,0,22,22,high,0,1239,9,10-24 works,2023,2026,"Existential, Timelines, Superintelligence",Chain of thought; Automated alignment research; Inner alignment; Corrigibility; Alignment proposals; Agency & goals; Communication; AI risk,lesswrong,,seth-herd,Agentized LLMs will change the alignment landscape,https://www.lesswrong.com/posts/dcoxvEhAfYcov2LA6/agentized-llms-will-change-the-alignment-landscape,A country of alien idiots in a datacenter: AI progress and public alarm,https://www.lesswrong.com/posts/qxmAqMAjxnhkzt6aF/a-country-of-alien-idiots-in-a-datacenter-ai-progress-and,Capabilities and alignment of LLM cognitive architectures,https://www.lesswrong.com/posts/ogHr8SvGqg9pW5wsT/capabilities-and-alignment-of-llm-cognitive-architectures,"Motivated reasoning, confirmation bias, and AI risk theory",https://www.lesswrong.com/posts/QpgmEhBvJQxAfFMP2/motivated-reasoning-confirmation-bias-and-ai-risk-theory
